student_id,full_name,email,age,course_name,year_of_study,timetable_group,commute_minutes,study_hours_per_week,sleep_hours_avg,attendance_rate,campus_visits_per_week,lms_logins_per_week,library_visits_per_week,avg_assignment_score,avg_quiz_score,events_interested_count,societies_joined_count,society_events_interested_count,helpdesk_messages_count,lost_found_reports_count,high_contrast_enabled,text_scale,notifications_enabled,part_time_job_hours,late_submissions_count,engagement_score,wellbeing_score,risk_score,target_at_risk,target_performance_band,estimated_final_mark
STU0070,Rohan Droney,rohan.droney70@fictional-campus.test,19,Data Analytics,1,G1,33,19,6.4,86.2,4,18,7,55.5,66.7,5,1,3,0,0,True,base,True,18,2,7.4,53.9,63.1,True,Low,51.6
STU0071,Dr. Dana O'Regan,dr..dana.oregan71@fictional-campus.test,19,Data Analytics,1,G1,68,13,6.3,86.9,3,27,7,62.9,67.9,3,1,1,1,0,False,base,True,1,2,12.8,54.5,52.1,False,Medium,60.6
STU0072,Dr. Daryl Cummins,dr..daryl.cummins72@fictional-campus.test,20,Engineering,2,G1,43,13,7.5,84.7,2,28,4,63.9,64.8,3,0,3,0,0,False,base,True,12,1,10.2,63.1,49.3,False,Medium,67.0
STU0073,Luke McConaghy,luke.mcconaghy73@fictional-campus.test,22,Psychology,4,G3,30,18,8.1,76.8,2,25,6,60.6,71.4,1,1,8,2,0,False,base,True,11,1,12.3,84.8,44.2,False,Medium,59.1
STU0074,Jamie O'Kearney,jamie.okearney74@fictional-campus.test,20,Engineering,2,G1,48,10,7.0,80.7,6,19,2,64.2,45.8,6,1,2,0,0,False,base,True,5,1,6.9,50.7,44.1,False,Medium,57.9
STU0075,Mrs. Natalie D'Arcy,mrs..natalie.darcy75@fictional-campus.test,19,Business Studies,1,G3,34,14,5.5,94.9,3,19,4,55.9,69.8,7,1,1,1,0,False,lg,True,0,1,14.9,50.4,48.8,False,Medium,60.9
STU0076,Kristopher Martyn,kristopher.martyn76@fictional-campus.test,26,Psychology,2,G3,33,16,8.5,83.2,4,24,3,63.6,67.9,6,1,3,1,0,False,base,True,1,1,12.2,95.1,48.0,False,Medium,58.9
STU0077,Mr. Eunan Gloster,mr..eunan.gloster77@fictional-campus.test,18,Computer Science,2,G2,64,12,9.2,98.6,7,22,1,90.1,67.8,5,1,4,1,0,False,base,True,2,0,6.4,81.9,33.3,False,Medium,67.9
STU0078,Robert Norton,robert.norton78@fictional-campus.test,20,Engineering,4,G2,58,23,7.1,75.2,5,30,5,65.7,74.8,2,2,6,1,0,True,base,True,9,0,16.1,64.4,42.4,False,Medium,67.2
STU0079,Logan Gilbane,logan.gilbane79@fictional-campus.test,18,Business Studies,1,G3,20,12,7.9,72.2,5,19,5,54.4,67.9,4,1,7,0,0,False,base,True,17,2,13.0,60.0,65.3,True,Medium,59.3
STU0080,Mitchel Joyce-Corley,mitchel.joyce.corley80@fictional-campus.test,19,Psychology,2,G1,49,13,7.1,87.5,2,30,2,55.8,82.0,4,2,2,0,0,False,base,True,10,1,5.0,49.4,47.6,False,Medium,59.3
STU0081,Shannon Twomey,shannon.twomey81@fictional-campus.test,19,Engineering,1,G3,65,27,7.7,74.6,4,38,10,60.6,66.0,5,1,5,0,0,False,base,True,21,2,16.4,46.4,66.9,True,Medium,66.6
STU0082,Ben Timlin,ben.timlin82@fictional-campus.test,20,Economics and Finance,3,G2,21,15,5.3,89.8,4,32,6,54.9,63.0,7,0,0,0,0,False,base,True,0,2,9.8,40.8,49.0,False,Medium,59.8
STU0083,Mrs. Ashley Hogan,mrs..ashley.hogan83@fictional-campus.test,22,Business Studies,1,G1,23,14,7.4,75.5,2,19,7,52.8,68.1,2,1,6,1,0,True,base,True,15,2,5.0,67.0,53.5,False,Low,52.1
STU0084,Kurtis Quaide,kurtis.quaide84@fictional-campus.test,20,Psychology,1,G2,35,12,6.5,86.5,5,19,4,68.3,72.9,5,1,5,0,0,False,base,True,4,0,5.0,61.0,37.8,False,Medium,69.0
STU0085,Cliona McPartlon,cliona.mcpartlon85@fictional-campus.test,20,Computer Science,1,G2,12,9,6.8,58.3,3,23,4,28.0,46.2,5,3,4,1,0,False,base,True,0,2,10.3,71.2,72.7,True,Low,34.2
STU0086,Craig McGowern,craig.mcgowern86@fictional-campus.test,20,Economics and Finance,2,G1,44,20,4.6,69.8,1,34,5,48.2,68.8,3,3,7,0,0,False,base,True,9,1,17.6,56.6,55.9,True,Low,50.9
STU0087,Kelvin Kerville,kelvin.kerville87@fictional-campus.test,23,Economics and Finance,3,G2,5,14,8.5,76.8,2,20,5,51.8,66.7,4,0,5,0,0,False,base,True,10,3,10.2,76.3,60.8,True,Low,53.3
STU0088,Dr. George Mooney,dr..george.mooney88@fictional-campus.test,21,Data Analytics,4,G2,56,19,7.8,74.5,7,36,6,53.1,71.9,2,3,6,2,1,False,base,False,0,1,15.5,82.3,44.1,False,Medium,59.6
STU0089,Dr. Carrie Girvan,dr..carrie.girvan89@fictional-campus.test,24,Computer Science,1,G3,32,23,5.3,91.1,4,31,3,63.2,68.9,2,2,4,0,0,False,base,True,9,0,8.5,42.5,41.3,False,Medium,61.9
STU0090,Donal Coholan-Togher,donal.coholan.togher90@fictional-campus.test,18,Psychology,1,G1,35,13,7.0,93.8,5,29,6,67.2,83.8,9,1,6,0,0,False,base,True,8,0,14.4,63.6,32.0,False,High,70.5
STU0091,Hayden Coffey,hayden.coffey91@fictional-campus.test,19,Psychology,1,G3,35,15,8.0,82.0,4,26,4,63.0,64.8,3,2,2,2,0,False,sm,True,0,0,12.8,74.8,30.5,False,Medium,57.3
STU0092,Stefan O'Sullivan,stefan.osullivan92@fictional-campus.test,19,Computer Science,1,G1,26,10,6.5,81.7,4,23,1,55.9,66.3,4,0,0,0,0,False,base,True,0,0,14.9,44.1,42.8,False,Medium,58.0
STU0093,Tamara Stanton,tamara.stanton93@fictional-campus.test,20,Computer Science,2,G1,93,15,8.3,71.4,3,26,0,58.7,60.5,4,1,4,0,0,False,base,True,3,1,6.8,48.5,61.2,True,Low,54.8
STU0094,Blaine Rudden,blaine.rudden94@fictional-campus.test,21,Marketing,4,G1,60,16,6.8,81.1,6,29,4,56.7,56.6,2,2,5,0,0,False,base,True,0,1,17.6,79.8,42.2,False,Low,54.2
STU0095,Darren Connell,darren.connell95@fictional-campus.test,22,Business Studies,1,G3,45,10,8.3,58.7,4,28,5,28.0,59.0,4,1,1,1,0,False,base,True,22,3,15.0,82.5,85.1,True,Low,40.5
STU0096,Anna Histon-McQuin,anna.histon.mcquin96@fictional-campus.test,20,Business Studies,1,G1,66,5,6.3,80.6,2,20,2,42.2,73.0,4,0,3,1,0,False,lg,False,2,2,5.0,60.2,63.2,True,Low,52.9
STU0097,Seamus Ingoldsby,seamus.ingoldsby97@fictional-campus.test,21,Law,3,G1,13,19,5.3,80.8,7,29,6,53.4,65.4,5,2,2,2,1,True,base,False,15,0,13.6,47.5,49.8,False,Medium,62.5
STU0098,Lucy Canning-Coyle,lucy.canning.coyle98@fictional-campus.test,18,Marketing,3,G3,41,10,8.1,69.6,2,20,2,43.4,60.0,5,3,7,1,0,False,lg,True,12,2,13.0,76.2,59.9,True,Low,46.7
STU0099,Molly Shortt,molly.shortt99@fictional-campus.test,18,Psychology,2,G2,57,18,7.1,82.2,4,29,4,69.1,79.5,4,0,2,2,0,False,base,True,0,3,18.0,67.5,48.9,False,Medium,67.1
STU0100,Dearbhla Guinnane,dearbhla.guinnane100@fictional-campus.test,18,Business Studies,1,G1,38,19,4.5,72.3,2,23,4,45.7,68.2,3,1,3,2,0,False,base,False,19,3,10.8,45.7,74.7,True,Low,48.9
STU0101,Dr. Eoin Kerwick,dr..eoin.kerwick101@fictional-campus.test,18,Engineering,1,G1,56,12,6.5,90.9,2,12,4,63.3,61.0,3,1,1,1,0,False,lg,True,2,0,5.0,59.0,38.6,False,Medium,56.2
STU0102,Caitlyn Lovett,caitlyn.lovett102@fictional-campus.test,19,Economics and Finance,1,G1,34,21,7.3,67.6,2,36,6,40.4,82.7,5,1,4,0,0,False,base,False,22,0,14.0,55.9,62.4,True,Medium,58.3
STU0103,Ellie Cook,ellie.cook103@fictional-campus.test,22,Data Analytics,4,G1,36,16,6.5,72.8,3,32,4,43.0,73.0,4,1,6,1,0,False,base,False,22,3,5.0,53.7,76.7,True,Low,51.8
STU0104,Michael Daniel,michael.daniel104@fictional-campus.test,18,Data Analytics,4,G2,30,18,5.6,71.0,6,26,3,48.0,75.0,7,0,2,0,0,False,base,True,6,0,10.1,54.8,56.7,True,Medium,55.8
STU0105,Robin Hardy,robin.hardy105@fictional-campus.test,21,Economics and Finance,1,G2,92,9,7.2,78.0,3,21,8,55.9,58.5,6,3,9,1,0,False,base,True,13,0,14.8,44.1,62.7,True,Medium,63.0
STU0106,Deirbhile Drum,deirbhile.drum106@fictional-campus.test,20,Engineering,1,G2,33,17,7.7,84.1,4,28,6,56.5,64.6,3,0,6,1,0,False,base,True,2,1,9.6,68.5,50.4,False,Medium,56.5
STU0107,Toni Connellan,toni.connellan107@fictional-campus.test,24,Business Studies,1,G2,45,16,6.5,87.7,3,26,5,62.3,69.8,1,0,3,2,0,False,base,True,9,1,9.5,61.8,41.4,False,Medium,58.4
STU0108,Joseph Lavan,joseph.lavan108@fictional-campus.test,22,Computer Science,2,G2,57,19,8.9,74.7,3,29,5,67.7,60.8,5,1,0,1,0,False,lg,True,15,0,5.0,74.7,40.3,False,Medium,61.1
STU0109,Malachy Toner,malachy.toner109@fictional-campus.test,20,Computer Science,1,G3,69,15,5.7,71.1,4,13,6,42.0,55.5,5,2,5,0,1,False,base,True,13,2,5.0,57.5,71.1,True,Low,38.3
STU0110,Miss Margaret Smyth,miss.margaret.smyth110@fictional-campus.test,21,Economics and Finance,3,G3,28,12,6.1,73.5,1,16,5,55.2,66.4,4,2,1,1,0,False,base,True,12,0,5.0,48.7,44.8,False,Medium,58.1
STU0111,Ruari Loughrey,ruari.loughrey111@fictional-campus.test,24,Marketing,1,G2,83,9,8.8,78.9,5,19,3,73.9,57.5,6,1,5,0,0,False,base,True,8,0,5.0,79.9,42.1,False,Medium,59.6
STU0112,Mr. Clifford Kerr,mr..clifford.kerr112@fictional-campus.test,19,Engineering,1,G3,40,14,6.8,71.3,4,30,7,47.1,57.6,3,1,7,0,0,False,sm,True,22,2,11.0,56.1,78.9,True,Low,45.4
STU0113,Carter Walls,carter.walls113@fictional-campus.test,22,Law,1,G1,56,18,8.9,77.8,2,27,5,86.3,62.9,4,0,6,0,0,True,base,False,3,0,6.0,71.1,45.0,False,Medium,69.4
STU0114,Frazer Landa,frazer.landa114@fictional-campus.test,22,Engineering,2,G1,66,10,6.9,91.3,3,18,4,66.3,55.3,4,3,6,1,0,False,lg,True,4,2,13.1,50.0,49.9,False,Low,54.6
STU0115,Claudia McAnally-Guinane,claudia.mcanally.guinane115@fictional-campus.test,22,Psychology,4,G2,60,17,6.9,60.8,4,25,2,35.1,58.9,3,0,3,0,0,False,base,True,22,4,5.0,65.7,83.5,True,Low,47.5
STU0116,Dr. Pauric Quinn,dr..pauric.quinn116@fictional-campus.test,19,Marketing,3,G2,23,10,8.0,70.9,4,22,2,51.8,59.2,3,0,0,1,0,False,base,True,16,2,15.3,68.0,65.5,True,Low,52.4
STU0117,Benjamin Cullen-Morahan,benjamin.cullen.morahan117@fictional-campus.test,24,Business Studies,3,G2,9,28,6.9,90.0,4,34,7,57.6,92.3,5,0,3,1,0,False,sm,True,5,1,7.4,59.4,42.0,False,High,74.1
